phase,fold,seed,model,target,mae,rmse,wape,smape,mape,bias,mase,rmsse
holdout,0,3407,Transformer,orders,994.144027884148,1468.7302431425214,0.13645345470672254,0.1455716469976461,0.14561872147436958,128.49471025162092,0.7140860544408448,0.6630025479336461
holdout,0,9999,Transformer,carts,4029.371949217635,5679.2603954374035,0.1601231685254616,0.17005458849045782,0.16538964998076125,-134.6984884183701,1.1441362711534195,1.0257140457564178
holdout,0,9999,Transformer,orders,1363.6246324652407,1964.8333190987582,0.18716733873972494,0.18758861468730975,0.19019468211824753,238.3953816662096,0.9794811478251175,0.8869494605354771
holdout,0,42,GRU,carts,2842.6263950295643,4077.710437551717,0.11296309971945447,0.11956142801451558,0.11853982984370348,-497.7362022922464,0.8071610178660491,0.7364629510005437
holdout,0,42,GRU,orders,931.9020930076842,1370.2731675604641,0.12791029918467975,0.14148836354792058,0.14703676744580277,1.3476915577230932,0.6693781484935614,0.6185578364028675
holdout,0,123,GRU,carts,2902.2723291127104,4085.4082036482337,0.11533336885206918,0.11729064362770596,0.1161565763513604,-124.70307567021618,0.8240974232094684,0.7378532212569467
holdout,0,123,GRU,orders,940.366479917204,1383.0140474353157,0.1290720974788731,0.135079175761915,0.13641073925916208,27.69272707586419,0.675458052895687,0.6243092232619474
holdout,0,2026,GRU,carts,3043.481037157311,4280.392738740655,0.12094486018135155,0.1280969639960539,0.12678935714525125,-315.8821774835456,0.8641934994001789,0.7730687885005717
holdout,0,2026,GRU,orders,938.8045074776427,1369.9034700546865,0.1288577054697108,0.14152314720598924,0.14514380886214664,28.931961704062545,0.674336100034505,0.618390950489379
holdout,0,3407,GRU,carts,2991.835915900801,4189.658560818066,0.11889253526354895,0.12262236422036606,0.12200974098715606,-148.9214810584778,0.8495289171272112,0.7566815630090041
holdout,0,3407,GRU,orders,975.6643179105297,1457.537936169059,0.13391698091907098,0.14185613353476922,0.14560220675865115,66.26800904644135,0.7008122200545359,0.6579502055615138
holdout,0,9999,GRU,carts,2809.2505979494417,4034.351041360595,0.11163677927848108,0.11496634148574232,0.11253649017462176,-595.9739548495916,0.7976839925382089,0.7286319415746542
holdout,0,9999,GRU,orders,896.8361188810165,1343.0039605367626,0.12309724073637415,0.13165059266056311,0.1348214185211556,-7.9399692936030695,0.6441905273774037,0.606248187424604
